Timestamp,Role,YearsOfExperience,FamiliarityWithBIM,CurrentBIMUsage,ReasonForNoBIM,adv_centralizesInfo,adv_improvesClarity3D,adv_reducesMisunderstandings,adv_facilitatesFeedback,adv_enhancesIntegration,adv_multidisciplinaryCollab,adv_streamlinesCoordination,adv_integratedDelivery,adv_remoteCollaboration,adv_promotesTransparency,adv_speedsUpPlanning,adv_learningCurveJustified,adv_automatesTakeoff,adv_parametricModeling,adv_boostsOverallEfficiency,adv_clashDetection,adv_reducesOnSiteErrors,adv_minimizesAmbiguities,adv_visualizesComplexSystems,adv_improvesConstructability,adv_lowersCosts,adv_optimizesResourceUsage,adv_cutsDownDelays,adv_longTermSavings,adv_smootherWorkflows,chal_dataExchange,chal_disorganizedInfo,chal_outdatedInfo,chal_misinterpretation,chal_siloedWorkflows,chal_ineffectiveCoordination,chal_limitedInteroperability,chal_lackOfTrust,chal_steepLearningCurve,chal_underutilizationOfFeatures,chal_inadequateHardware,chal_insufficientTraining,chal_limitedClashKnowledge,chal_poorRoleDefinitions,chal_incompleteModels,chal_noStandardizedProtocols,chal_highInvestment,chal_difficultyProvingROI,chal_extendedTimelines,chal_misalignmentOfCosts,strat_establishCDE,strat_adoptIFC,strat_implementIPD,strat_appointBimCoordinator,strat_ongoingTraining,strat_investInHardware,strat_mandatoryClashDetection,strat_developBEP,strat_conductROIStudies,strat_integrateCostTools,ProjectsInvolved,OrganizationType,Age,Gender,Location
8/13/2025 7:00:35,Architect,8,Somewhat familiar,Currently use BIM,N/A,4,4,3,3,4,2,4,3,2,3,4,4,4,3,4,2,2,3,3,3,2,2,3,2,4,3,4,4,4,3,3,3,3,4,3,4,4,4,4,3,2,4,4,4,4,4,2,2,2,4,2,2,4,2,4,"Residential, Commercial, Industrial",Architecture/Engineering Design Firm,30,Prefer not to say,Manila
8/13/2025 16:43:48,Client/Owner/Developer,15,Very familiar,Currently use BIM,N/A,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,3,4,5,5,4,3,2,1,5,4,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,"Residential, Commercial, Infrastructure, Industrial",Architecture/Engineering Design Firm,35,Female,Practice Html
8/24/2025 12:35:13,Engineer,7,Somewhat familiar,Planning to adopt,N/A,4,4,5,4,5,4,5,4,5,4,3,4,4,3,4,4,4,5,5,5,4,4,4,5,4,5,4,4,4,4,4,4,4,5,5,5,3,4,5,4,4,5,4,5,5,4,3,3,5,4,4,4,4,5,4,"Residential, Infrastructure",Government/Regulatory Agency,33,Male,Qc
8/24/2025 12:41:33,Engineer,9,Somewhat familiar,Planning to adopt,N/A,5,5,5,4,4,4,5,4,4,4,3,4,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,4,4,4,4,4,5,4,4,3,3,4,4,4,4,Infrastructure,Government/Regulatory Agency,34,Male,Manila
8/25/2025 9:15:23,Engineer,1,Somewhat familiar,Currently use BIM,N/A,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,5,4,4,4,4,3,4,3,4,3,4,5,5,5,4,3,4,5,2,2,3,5,4,4,3,4,5,5,4,4,3,4,3,4,5,4,3,4,4,5,"Residential, Commercial, Infrastructure",Construction Company/Contractor,23,Male,Quezon City
8/29/2025 11:12:21,Engineer,8,Somewhat familiar,Planning to adopt,N/A,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,5,5,4,4,5,4,4,4,4,4,Residential,Architecture/Engineering Design Firm,28,Male,Baguio/Benguet
8/29/2025 11:13:59,Engineer,2,Somewhat familiar,Planning to adopt,N/A,4,4,4,5,4,5,3,4,3,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,3,3,"Residential, Commercial",Construction Company/Contractor,26,Female,"Baguio City, Benguet"
8/29/2025 11:17:07,Engineer,6,Very familiar,Not using BIM,Little knowledge about BIM,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,"Residential, Infrastructure",Construction Company/Contractor,31,Female,Baguio City
9/10/2025 16:29:46,Engineer,1,Somewhat familiar,Currently use BIM,N/A,5,5,3,3,4,3,4,3,2,3,4,4,4,3,3,4,4,4,3,3,3,3,5,4,4,5,5,4,3,4,3,4,3,4,4,3,4,3,5,4,4,4,4,4,5,3,3,4,4,4,4,4,4,3,3,"Residential, Infrastructure",Government/Regulatory Agency,23,Male,Baguio City
9/10/2025 16:32:54,BIM Manager/Coordinator,1,Somewhat familiar,Planning to adopt,N/A,5,5,3,5,5,3,5,3,5,5,5,5,3,5,5,4,4,5,4,5,3,5,4,4,5,3,4,3,4,2,2,2,2,3,1,4,5,3,4,4,1,2,2,3,4,5,3,4,4,5,3,4,5,5,2,Residential,Construction Company/Contractor,26,Male,"Alcala, Pangasinan"
